61,17,121,17,121,36,61,36
270,17,326,17,326,36,270,36
32,18,60,18,60,37,32,37
122,18,133,18,133,34,122,34
136,18,170,18,170,37,136,37
173,18,206,18,206,36,173,36
209,18,249,18,249,37,209,37
252,18,269,18,269,36,252,36
17,37,82,37,82,56,17,56
85,38,137,38,137,56,85,56
140,38,157,38,157,56,140,56
158,38,188,38,188,56,158,56
190,38,234,38,234,56,190,56
288,38,324,38,324,56,288,56
237,40,258,40,258,56,237,56
260,40,286,40,286,56,260,56
150,68,197,68,197,86,150,86
197,67,239,70,238,88,196,85
124,69,150,69,150,89,124,89
81,98,94,98,94,114,81,114
94,98,133,98,133,116,94,116
134,98,173,98,173,116,134,116
173,98,217,98,217,116,173,116
218,98,248,98,248,116,218,116
248,98,274,98,274,117,248,117
276,98,324,98,324,116,276,116
69,118,108,118,108,136,69,136
109,118,161,118,161,136,109,136
164,118,205,118,205,136,164,136
208,118,237,118,237,136,208,136
241,118,273,118,273,136,241,136
273,118,317,118,317,136,273,136
88,138,100,138,100,156,88,156
101,138,138,138,138,156,101,156
142,138,164,138,164,156,142,156
164,138,198,138,198,157,164,157
200,138,233,138,233,156,200,156
236,138,266,138,266,154,236,154
266,138,286,138,286,156,266,156
288,138,317,138,317,156,288,156
69,140,85,140,85,156,69,156
69,158,124,158,124,177,69,177
126,158,157,158,157,176,126,176
158,158,197,158,197,176,158,176
200,158,282,158,282,176,200,176
284,158,316,158,316,176,284,176
